Madikeri,Karnataka,India,Mangalore,Karnataka,148,04:00,,1
Gokarna,Karnataka,India,Mangalore,Karnataka,238,05:00,,1
Badami,Karnataka,India,Mangalore,Karnataka,460,10:00,,0
Karwar,Karnataka,India,Mangalore,Karnataka,279,06:00,,1
Neeleshwar,Kerala,India,Mangalore,Karnataka,82,02:30,,1
Bekal,Kerala,India,Mangalore,Karnataka,60,02:00,,1
Maheshwar,Madhya Pradesh,India,Aurangabad,Maharashtra,343,08:00,,1
Indore,Madhya Pradesh,India,Maheshwar,Madhya Pradesh,100,02:30,,1
Bhopal,Madhya Pradesh,India,Maheshwar,Madhya Pradesh,289,06:00,,1
Barnagar,Madhya Pradesh,India,Maheshwar,Madhya Pradesh,134,03:00,,1
Aurangabad,Maharashtra,India,Maheshwar,Madhya Pradesh,343,08:00,,1
Maheshwar,Madhya Pradesh,India,Dhar,Madhya Pradesh,73,02:30,,1
Indore,Madhya Pradesh,India,Dhar,Madhya Pradesh,65,01:30,,1
Bhopal,Madhya Pradesh,India,Dhar,Madhya Pradesh,309,06:00,,1
Barnagar,Madhya Pradesh,India,Dhar,Madhya Pradesh,60,01:30,,1
Bhopal,Madhya Pradesh,India,Barnagar,Madhya Pradesh,251,05:00,,1
Maheshwar,Madhya Pradesh,India,Barnagar,Madhya Pradesh,134,03:00,,1
Dhar,Madhya Pradesh,India,Barnagar,Madhya Pradesh,60,01:30,,1
Indore,Madhya Pradesh,India,Barnagar,Madhya Pradesh,97,02:30,,1
Khajuraho,Madhya Pradesh,India,Jabalpur,Madhya Pradesh,252,06:00,,1
Bandhavgarh,Madhya Pradesh,India,Jabalpur,Madhya Pradesh,170,04:00,,1
Kanha,Madhya Pradesh,India,Jabalpur,Madhya Pradesh,140,04:00,,1
Delhi,Delhi,India,Mussoorie,Uttarakhand,284,07:00,,1
Corbett,Uttarakhand,India,Mussoorie,Uttarakhand,259,07:30,,1
Dehra Dun,Uttarakhand,India,Mussoorie,Uttarakhand,62,02:30,,1
Haridwar,Uttarakhand,India,Mussoorie,Uttarakhand,85,03:00,,1
Kalimpong,West Bengal,India,Siliguri,West Bengal,66,02:30,,1
