state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesentrancefees_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Half-day city tour of Bhopal,7237,2274,00:00.0,2019-10-01T00:00:00,Open from 10 am to 5 pm.  Museums closed on Mondays and National Holidays.,,0,0,0,48,1077,2958,7237,1,35,800,0,State Museum & Tribal Museum,13,2,,0
Madhya Pradesh,Bhopal,Rai Travels Pvt Ltd,Half-day city tour of Bhopal,7237,2274,00:00.0,2019-10-01T00:00:00,Open from 10 am to 5 pm.  Museums closed on Mondays and National Holidays.,,0,0,0,48,1077,2959,7237,1,35,200,0,State Museum & Tribal Museum,13,1,,0
Madhya Pradesh,Gwalior,Colleague Tours Pvt. Ltd.,Half-day city tour of Gwalior,7115,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,146,1273,2930,7115,1,35,350,0,Jai Vilas Palace,13,2,,0
Madhya Pradesh,Gwalior,Colleague Tours Pvt. Ltd.,Half-day city tour of Gwalior,7115,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,146,1273,2931,7115,1,35,100,0,Fort,13,2,,0
Madhya Pradesh,Gwalior,Colleague Tours Pvt. Ltd.,Half-day city tour of Gwalior,7115,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,146,1273,2932,7115,1,35,100,0,Archelogy Museum,13,2,,0
Madhya Pradesh,Gwalior,Colleague Tours Pvt. Ltd.,Half-day city tour of Gwalior,7115,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,146,1273,2933,7115,1,35,60,0,Jai Vilas Palace,13,1,,0
Madhya Pradesh,Gwalior,Colleague Tours Pvt. Ltd.,Half-day city tour of Gwalior,7115,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,146,1273,2934,7115,1,35,5,0,Gwalior Fort,13,1,,0
Madhya Pradesh,Gwalior,Colleague Tours Pvt. Ltd.,Half-day city tour of Gwalior,7115,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,146,1273,2935,7115,1,35,10,0,Archelogy Museum,13,1,,0
Madhya Pradesh,Khajuraho,Colleague Tours Pvt. Ltd.,Half-day tour of Khajuraho temples,7104,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,154,906,2927,7104,1,35,250,0,Western Group of Temples.,13,2,,0
Madhya Pradesh,Khajuraho,Colleague Tours Pvt. Ltd.,Half-day tour of Khajuraho temples,7104,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,154,906,2928,7104,1,35,30,0,Western Group of Temples.,13,1,,0
